,index,index.1,TimeStamp (sec), Horizontal (meters), Cadence (stokes/min), HRCur (bpm), longitude, latitude, Stroke500mPace (sec/500m), Power (watts), DragFactor, DriveLength (meters), StrokeDistance (meters), DriveTime (ms), StrokeRecoveryTime (ms), AverageDriveForce (lbs), PeakDriveForce (lbs), lapIdx, WorkoutState, ElapsedTime (sec),cum_dist, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an,originalvelo
10,10,10,1731007318.6,80.9,18.0,126.0,0.0,0.0,232.89121779291912,27.812428585033818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,80.9,2.149613069647464,0.0,0.0,1.0,9,92.70809528344606,126.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,27.812428585033818,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.149613069647464
11,11,11,1731007322.1,88.4,19.0,126.0,0.0,0.0,234.90961108351365,26.66147803021397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,34.5,88.4,2.11954217888936,0.0,0.0,1.0,11,84.19414114804412,126.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,26.66147803021397,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.11954217888936
12,12,12,1731007325.1,94.9,19.0,125.0,0.0,0.0,232.0931079557819,28.24736752144916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,37.5,94.9,2.16076058772688,0.0,0.0,1.0,12,89.20221322562892,125.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,28.24736752144916,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.16076058772688
13,13,13,1731007328.1,101.5,19.0,124.0,0.0,0.0,229.70617972216556,28.24736752144916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,40.5,101.5,2.16076058772688,0.0,0.0,1.0,12,89.20221322562892,124.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,28.24736752144916,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.16076058772688
14,14,14,1731007331.1,108.0,20.0,124.0,0.0,0.0,229.29509601282365,29.9615692992005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,43.5,108.0,2.203613926840017,0.0,0.0,1.0,13,89.8847078976015,124.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,29.9615692992005,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.203613926840017
15,15,15,1731007334.6,115.3,18.0,122.0,0.0,0.0,233.30743795218547,28.35751744428221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,47.0,115.3,2.163565556036348,0.0,0.0,1.0,15,94.52505814760735,122.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,28.35751744428221,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.163565556036348
16,16,16,1731007337.6,121.4,18.0,122.0,0.0,0.0,240.02916947020503,25.035579261608216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,121.4,2.0755500207555,0.0,0.0,1.0,15,83.45193087202739,122.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,25.035579261608216,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.0755500207555
17,17,17,1731007341.1,128.6,19.0,123.0,0.0,0.0,244.24676427258828,23.22614775824872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,53.5,128.6,2.0242914979757085,0.0,0.0,1.0,17,73.3457297628907,123.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,23.22614775824872,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.0242914979757085
18,18,18,1731007344.1,134.70000000000002,19.0,123.0,0.0,0.0,244.4262247590412,23.22614775824872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,56.5,134.70000000000002,2.0242914979757085,0.0,0.0,1.0,17,73.3457297628907,123.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,23.22614775824872,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.0242914979757085
19,19,19,1731007347.6,142.20000000000002,18.0,123.0,0.0,0.0,238.3276152499108,27.31621184393484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,60.0,142.20000000000002,2.1367521367521367,0.0,0.0,1.0,19,91.0540394797828,123.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,27.31621184393484,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.1367521367521367
20,20,20,1731007350.6,148.8,18.0,121.0,0.0,0.0,230.6300512148766,27.31621184393484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,63.0,148.8,2.1367521367521367,0.0,0.0,1.0,19,91.0540394797828,121.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,27.31621184393484,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.1367521367521367
21,21,21,1731007354.1,156.8,19.0,121.0,0.0,0.0,226.0483773187717,31.646266776637216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,66.5,156.8,2.244165170556553,0.0,0.0,1.0,21,99.93557929464384,121.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,31.646266776637216,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.244165170556553
22,22,22,1731007357.1,163.60000000000002,19.0,121.0,0.0,0.0,224.40455863754215,32.33796424019278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,69.5,163.60000000000002,2.260397830018084,0.0,0.0,1.0,21,102.119887074293,121.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.33796424019278,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.260397830018084
23,23,23,1731007360.1,170.70000000000002,19.0,121.0,0.0,0.0,216.1104674212515,32.33796424019278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,72.5,170.70000000000002,2.260397830018084,0.0,0.0,1.0,22,102.119887074293,121.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.33796424019278,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.260397830018084
